AIRLINE,AIRCRAFT,FLIGHT_DURATION,MONTH,INTERNATIONAL,SEATS_ECONOMY,SEATS_PREMIUM,PITCH_ECONOMY,PITCH_PREMIUM,WIDTH_ECONOMY,WIDTH_PREMIUM,PRICE_ECONOMY,PRICE_PREMIUM,PRICE_RELATIVE,N,LAMBDA,QUALITY
British,1,10.5,0,1,303,55,31,38,18,19,1848,3536,0.91,358,0.15,7
British,1,10.5,1,1,303,55,31,38,18,19,1848,3536,0.91,358,0.15,7
British,1,10.5,2,1,303,55,31,38,18,19,1848,3536,0.91,358,0.15,7
British,1,10.5,3,1,303,55,31,38,18,19,1848,3536,0.91,358,0.15,7
British,0,10.41,1,1,243,36,31,38,18,19,1651,3509,1.13,279,0.13,7
British,0,10.41,3,1,243,36,31,38,18,19,1651,3509,1.13,279,0.13,7
British,0,10.41,2,1,243,36,31,38,18,19,2775,3509,0.26,279,0.13,7
British,0,11,1,1,243,36,31,38,18,19,2230,3227,0.45,279,0.13,7
British,0,11,2,1,243,36,31,38,18,19,2230,3227,0.45,279,0.13,7
British,0,11,3,1,243,36,31,38,18,19,2230,3227,0.45,279,0.13,7
British,0,9.91,0,1,243,36,31,38,18,19,2356,3200,0.36,279,0.13,7
British,0,9.91,1,1,243,36,31,38,18,19,2356,3200,0.36,279,0.13,7
British,0,9.91,2,1,243,36,31,38,18,19,2356,3200,0.36,279,0.13,7
British,0,9.91,3,1,243,36,31,38,18,19,2356,3200,0.36,279,0.13,7
British,0,8.58,1,1,243,36,31,38,18,19,1562,3099,0.98,279,0.13,7
British,0,8.58,2,1,243,36,31,38,18,19,1562,3099,0.98,279,0.13,7
British,0,8.58,3,1,243,36,31,38,18,19,1562,3099,0.98,279,0.13,7
British,0,11.41,0,1,243,36,31,38,18,19,2281,3025,0.33,279,0.13,7
British,0,11.41,1,1,243,36,31,38,18,19,2281,3025,0.33,279,0.13,7
British,0,11.41,2,1,243,36,31,38,18,19,2281,3025,0.33,279,0.13,7
British,0,11.41,3,1,243,36,31,38,18,19,2281,3025,0.33,279,0.13,7
British,0,8.16,1,1,122,40,31,38,18,19,1793,2999,0.67,162,0.25,7
British,0,8.16,2,1,122,40,31,38,18,19,1793,2999,0.67,162,0.25,7
British,0,8.16,3,1,122,40,31,38,18,19,1793,2999,0.67,162,0.25,7
British,0,6.5,1,1,122,40,31,38,18,19,1476,2997,1.03,162,0.25,7
British,0,6.5,2,1,122,40,31,38,18,19,1476,2997,1.03,162,0.25,7
British,0,6.5,3,1,127,39,31,38,18,19,1476,2997,1.03,166,0.23,7
British,0,11.5,2,1,122,40,31,38,18,19,1705,2989,0.75,162,0.25,7
British,0,11.5,3,1,122,40,31,38,18,19,1705,2989,0.75,162,0.25,7
British,0,11.5,1,1,122,40,31,38,18,19,1911,2989,0.56,162,0.25,7
British,0,11.5,0,1,122,40,31,38,18,19,2378,2989,0.26,162,0.25,7
British,0,6.83,0,1,243,56,31,38,18,19,1444,2982,1.07,299,0.19,7
British,0,6.83,1,1,243,56,31,38,18,19,1444,2982,1.07,299,0.19,7
British,0,6.83,2,1,243,56,31,38,18,19,1444,2982,1.07,299,0.19,7
British,0,6.83,3,1,243,56,31,38,18,19,1444,2982,1.07,299,0.19,7
British,0,11.08,1,1,127,39,31,38,18,19,2156,2933,0.36,166,0.23,7
British,0,11.08,2,1,127,39,31,38,18,19,2156,2933,0.36,166,0.23,7
British,0,11.08,3,1,127,39,31,38,18,19,2156,2933,0.36,166,0.23,7
British,0,11.58,1,1,122,40,31,38,18,19,1750,2656,0.52,162,0.25,7
British,0,11.58,2,1,122,40,31,38,18,19,1750,2656,0.52,162,0.25,7
British,0,11.58,3,1,122,40,31,38,18,19,1750,2656,0.52,162,0.25,7
British,1,13.08,1,1,303,55,31,38,18,19,1758,2592,0.47,358,0.15,7
British,1,13.08,2,1,303,55,31,38,18,19,1758,2592,0.47,358,0.15,7
British,1,13.08,3,1,303,55,31,38,18,19,1758,2592,0.47,358,0.15,7
British,0,7.58,1,1,243,56,31,38,18,19,1824,2549,0.4,299,0.19,7
British,0,7.58,2,1,243,56,31,38,18,19,1824,2549,0.4,299,0.19,7
British,0,7.58,3,1,243,56,31,38,18,19,1824,2549,0.4,299,0.19,7
British,0,7.58,0,1,243,56,31,38,18,19,1823,2548,0.4,299,0.19,7
British,0,9.16,1,1,122,40,31,38,18,19,1813,2504,0.38,162,0.25,7
British,0,9.16,2,1,122,40,31,38,18,19,1813,2504,0.38,162,0.25,7
British,0,9.16,3,1,122,40,31,38,18,19,1813,2504,0.38,162,0.25,7
British,0,9.33,1,1,243,36,31,38,18,19,1813,2472,0.36,279,0.13,7
British,0,9.33,2,1,243,36,31,38,18,19,1813,2472,0.36,279,0.13,7
British,0,9.33,3,1,243,36,31,38,18,19,1813,2472,0.36,279,0.13,7
British,0,13.33,1,1,203,24,31,38,18,19,2166,2470,0.14,227,0.11,7
British,0,13.33,2,1,203,24,31,38,18,19,2166,2470,0.14,227,0.11,7
British,0,13.33,3,1,203,24,31,38,18,19,2166,2470,0.14,227,0.11,7
British,0,8.91,2,1,243,36,31,38,18,19,1140,2423,1.13,279,0.13,7
British,0,8.66,1,1,243,36,31,38,18,19,1609,2292,0.42,279,0.13,7
British,0,8.66,2,1,243,36,31,38,18,19,1609,2292,0.42,279,0.13,7
British,0,8.66,3,1,243,36,31,38,18,19,1609,2292,0.42,279,0.13,7
British,0,7.25,1,1,243,36,31,38,18,19,1632,2278,0.4,279,0.13,7
British,0,7.25,2,1,243,36,31,38,18,19,1632,2278,0.4,279,0.13,7
British,0,7.25,3,1,243,36,31,38,18,19,1632,2278,0.4,279,0.13,7
British,0,6.08,1,1,127,39,31,38,18,19,1634,2195,0.34,166,0.23,7
British,0,6.08,2,1,127,39,31,38,18,19,1634,2195,0.34,166,0.23,7
British,0,6.08,3,1,127,39,31,38,18,19,1634,2195,0.34,166,0.23,7
British,0,6.75,1,1,122,40,31,38,18,19,1634,2195,0.34,162,0.25,7
British,0,6.75,2,1,122,40,31,38,18,19,1634,2195,0.34,162,0.25,7
British,0,6.75,3,1,122,40,31,38,18,19,1634,2195,0.34,162,0.25,7
British,0,6.66,1,1,122,40,31,38,18,19,1651,2191,0.33,162,0.25,7
British,0,6.66,2,1,122,40,31,38,18,19,1651,2191,0.33,162,0.25,7
British,0,6.66,3,1,122,40,31,38,18,19,1651,2191,0.33,162,0.25,7
British,0,8.75,1,1,122,40,31,38,18,19,1542,2084,0.35,162,0.25,7
British,0,8.75,2,1,122,40,31,38,18,19,1566,2084,0.33,162,0.25,7
British,0,8.75,3,1,122,40,31,38,18,19,1566,2084,0.33,162,0.25,7
British,0,8.91,1,1,243,36,31,38,18,19,1140,2049,0.8,279,0.13,7
British,0,7.08,1,1,243,36,31,38,18,19,1736,1866,0.07,279,0.13,7
British,0,7.08,2,1,243,36,31,38,18,19,1736,1866,0.07,279,0.13,7
British,0,7.08,3,1,243,36,31,38,18,19,1736,1866,0.07,279,0.13,7
British,0,4.91,1,1,122,40,31,38,18,19,1356,1820,0.34,162,0.25,7
British,0,4.91,2,1,122,40,31,38,18,19,1356,1820,0.34,162,0.25,7
British,0,4.91,3,1,122,40,31,38,18,19,1356,1820,0.34,162,0.25,7
British,0,11.41,1,1,243,36,31,38,18,19,846,1784,1.11,279,0.13,7
British,0,11.41,3,1,243,36,31,38,18,19,846,1784,1.11,279,0.13,7
British,0,11.41,0,1,243,36,31,38,18,19,937,1784,0.91,279,0.13,7
British,0,11.41,2,1,243,36,31,38,18,19,1485,1784,0.2,279,0.13,7
British,0,3.83,0,1,122,40,31,38,18,19,1242,1764,0.42,162,0.25,7
British,0,3.83,1,1,122,40,31,38,18,19,1242,1764,0.42,162,0.25,7
British,0,3.83,2,1,122,40,31,38,18,19,1242,1764,0.42,162,0.25,7
British,0,3.83,3,1,122,40,31,38,18,19,1242,1764,0.42,162,0.25,7
British,1,11.16,2,1,303,55,31,38,18,19,719,1634,1.27,358,0.15,7
British,1,11.16,3,1,303,55,31,38,18,19,719,1634,1.27,358,0.15,7
British,1,11.16,1,1,303,55,31,38,18,19,1198,1634,0.36,358,0.15,7
British,0,8.91,3,1,243,36,31,38,18,19,891,1603,0.8,279,0.13,7
British,0,11.08,0,1,243,36,31,38,18,19,1323,1550,0.17,279,0.13,7
British,0,13.5,1,1,122,40,31,38,18,19,940,1548,0.65,162,0.25,7
British,0,13.5,2,1,122,40,31,38,18,19,940,1548,0.65,162,0.25,7
British,0,13.5,3,1,122,40,31,38,18,19,940,1548,0.65,162,0.25,7
British,0,3.83,0,1,122,40,31,38,18,19,1224,1512,0.24,162,0.25,7
British,0,3.83,1,1,122,40,31,38,18,19,1224,1512,0.24,162,0.25,7
British,0,3.83,2,1,122,40,31,38,18,19,1224,1512,0.24,162,0.25,7
British,0,3.83,3,1,122,40,31,38,18,19,1224,1512,0.24,162,0.25,7
British,0,5.41,1,1,122,40,31,38,18,19,1127,1317,0.17,162,0.25,7
British,0,5.41,2,1,122,40,31,38,18,19,1127,1317,0.17,162,0.25,7
British,0,5.41,3,1,122,40,31,38,18,19,1127,1317,0.17,162,0.25,7
British,0,12.5,1,1,127,39,31,38,18,19,1038,1259,0.21,166,0.23,7
British,0,12.05,2,1,127,39,31,38,18,19,1038,1259,0.21,166,0.23,7
British,0,8.25,1,1,122,40,31,38,18,19,1123,1213,0.08,162,0.25,7
British,0,8.25,2,1,122,40,31,38,18,19,1123,1213,0.08,162,0.25,7
British,0,8.25,3,1,122,40,31,38,18,19,1123,1213,0.08,162,0.25,7
British,0,11.08,1,1,243,36,31,38,18,19,1023,1199,0.17,279,0.13,7
British,0,11.08,2,1,243,36,31,38,18,19,1023,1199,0.17,279,0.13,7
British,0,8.91,1,1,203,24,31,38,18,19,649,1152,0.77,227,0.11,7
British,0,7.08,2,1,243,36,31,38,18,19,757,912,0.21,279,0.13,7
British,0,8.91,2,1,203,24,31,38,18,19,575,853,0.48,227,0.11,7
British,0,8.91,3,1,203,24,31,38,18,19,575,853,0.48,227,0.11,7
British,0,11.08,3,1,243,36,31,38,18,19,533,837,0.57,279,0.13,7
British,0,9.58,1,1,203,24,31,38,18,19,797,826,0.04,227,0.11,7
British,0,12.5,3,1,127,39,31,38,18,19,509,818,0.61,166,0.23,7
British,0,9.58,3,1,203,24,31,38,18,19,524,797,0.52,227,0.11,7
British,0,9.58,2,1,203,24,31,38,18,19,582,797,0.37,227,0.11,7
British,0,12.75,1,1,122,40,31,38,18,19,509,773,0.52,162,0.25,7
British,0,12.75,2,1,122,40,31,38,18,19,509,773,0.52,162,0.25,7
British,0,12.75,3,1,122,40,31,38,18,19,509,773,0.52,162,0.25,7
British,1,4.08,2,1,303,55,31,38,18,19,457,486,0.06,358,0.15,7
British,1,3.58,1,1,303,55,31,38,18,19,402,442,0.1,358,0.15,7
British,1,3.58,2,1,303,55,31,38,18,19,402,442,0.1,358,0.15,7
British,1,2.41,0,1,303,55,31,38,18,19,392,407,0.04,358,0.15,7
British,1,3.25,1,1,303,55,31,38,18,19,356,396,0.11,358,0.15,7
British,1,3.25,2,1,303,55,31,38,18,19,356,396,0.11,358,0.15,7
British,1,3.58,1,1,303,55,31,38,18,19,322,348,0.08,358,0.15,7
British,1,2.66,3,1,303,55,31,38,18,19,297,323,0.09,358,0.15,7
British,1,2.41,1,1,303,55,31,38,18,19,303,319,0.05,358,0.15,7
British,1,2.41,2,1,303,55,31,38,18,19,303,319,0.05,358,0.15,7
British,1,2.41,1,1,303,55,31,38,18,19,276,306,0.11,358,0.15,7
British,1,3.25,3,1,303,55,31,38,18,19,249,285,0.14,358,0.15,7
British,1,1.83,0,1,303,55,31,38,18,19,238,278,0.17,358,0.15,7
British,1,3.58,3,1,303,55,31,38,18,19,238,276,0.16,358,0.15,7
British,1,4.5,1,1,303,55,31,38,18,19,228,263,0.15,358,0.15,7
British,1,2.41,3,1,303,55,31,38,18,19,231,247,0.07,358,0.15,7
British,1,4.5,3,1,303,55,31,38,18,19,203,238,0.17,358,0.15,7
British,1,1.83,1,1,303,55,31,38,18,19,201,237,0.18,358,0.15,7
British,1,2.41,0,1,303,55,31,38,18,19,207,237,0.14,358,0.15,7
British,1,3.58,2,1,303,55,31,38,18,19,207,234,0.13,358,0.15,7
British,1,4.08,1,1,303,55,31,38,18,19,182,211,0.16,358,0.15,7
British,1,2.83,2,1,303,55,31,38,18,19,171,201,0.18,358,0.15,7
British,1,4.5,2,1,303,55,31,38,18,19,168,198,0.18,358,0.15,7
British,1,1.25,0,1,303,55,31,38,18,19,140,175,0.25,358,0.15,7
British,1,4.08,3,1,303,55,31,38,18,19,147,175,0.2,358,0.15,7
British,0,1.25,1,1,303,55,31,38,18,19,137,172,0.26,358,0.15,7
British,1,2.41,2,1,303,55,31,38,18,19,138,165,0.19,358,0.15,7
British,1,1.83,2,1,303,55,31,38,18,19,126,156,0.23,358,0.15,7
British,1,1.83,3,1,303,55,31,38,18,19,126,156,0.23,358,0.15,7
British,1,1.25,1,1,303,55,31,38,18,19,109,141,0.3,358,0.15,7
British,1,1.25,2,1,303,55,31,38,18,19,109,141,0.3,358,0.15,7
British,0,1.25,2,1,303,55,31,38,18,19,109,141,0.3,358,0.15,7
British,1,3.58,3,1,303,55,31,38,18,19,104,131,0.25,358,0.15,7
British,1,2.83,3,1,303,55,31,38,18,19,97,125,0.29,358,0.15,7
British,0,1.33,1,1,303,55,31,38,18,19,77,99,0.29,358,0.15,7
British,0,1.33,2,1,303,55,31,38,18,19,77,99,0.29,358,0.15,7
British,0,1.25,3,1,303,55,31,38,18,19,69,97,0.4,358,0.15,7
British,1,2.41,3,1,312,55,31,38,18,19,74,97,0.31,367,0.15,7
British,0,1.33,3,1,303,55,31,38,18,19,65,86,0.33,358,0.15,7
Delta,1,8.33,1,1,233,38,31,38,18,21,1778,2588,0.46,271,0.14,7
Delta,1,8.33,3,1,233,38,31,38,18,21,1778,2588,0.46,271,0.14,7
Delta,1,9.5,1,1,233,38,31,38,18,21,1999,2765,0.38,271,0.14,7
Delta,1,9.5,2,1,233,38,31,38,18,21,1999,2765,0.38,271,0.14,7
Delta,1,9.5,3,1,233,38,31,38,18,21,1999,2765,0.38,271,0.14,7
Delta,1,8.33,2,1,233,38,31,38,18,21,1985,2588,0.3,271,0.14,7
Delta,0,4.28,2,0,126,18,32,34,17,17,288,327,0.14,144,0.13,2
Delta,0,4.25,3,0,126,18,32,34,17,17,288,327,0.14,144,0.13,2
Delta,0,4.33,1,0,171,29,32,35,18,18,298,337,0.13,200,0.15,3
Delta,0,4.63,1,0,126,18,32,34,17,17,363,407,0.12,144,0.13,2
Delta,0,4.65,2,0,126,18,32,34,17,17,363,407,0.12,144,0.13,2
Delta,0,4.66,3,0,126,18,32,34,17,17,363,407,0.12,144,0.13,2
Delta,0,4.7,0,0,139,21,31,34,17,17,413,457,0.11,160,0.13,3
Delta,0,4.7,2,0,139,21,31,34,17,17,413,457,0.11,160,0.13,3
Delta,0,4.7,3,0,139,21,31,34,17,17,413,457,0.11,160,0.13,3
Delta,0,4.36,2,0,126,18,32,34,17,17,413,457,0.11,144,0.13,2
Delta,0,4.25,3,0,126,18,32,34,17,17,413,457,0.11,144,0.13,2
Delta,0,4.43,3,0,126,18,32,34,17,17,340,379,0.11,144,0.13,2
Delta,0,4.7,1,0,139,21,31,34,17,17,423,467,0.1,160,0.13,3
Delta,0,4.51,1,0,171,29,32,35,18,18,423,467,0.1,200,0.15,3
Delta,0,4.26,1,0,126,18,32,34,17,17,328,362,0.1,144,0.13,2
Delta,0,4.4,2,0,126,18,32,34,17,17,328,362,0.1,144,0.13,2
Delta,0,4.33,0,0,171,29,32,35,18,18,483,527,0.09,200,0.15,3
Delta,0,4.26,0,0,132,26,32,34,17,17,458,497,0.09,158,0.16,2
Delta,0,1.91,3,0,136,20,33,35,17,17,166,181,0.09,156,0.13,2
Delta,1,1.95,2,0,120,18,32,34,17,17,166,181,0.09,138,0.13,2
Delta,0,2.06,1,0,78,20,31,34,18,18,158,173,0.09,98,0.2,3
Delta,1,2.26,2,0,120,18,32,34,17,17,329,354,0.08,138,0.13,2
Delta,1,2.55,3,0,136,20,33,35,17,17,243,262,0.08,156,0.13,2
Delta,0,2.55,1,0,136,20,33,35,17,17,243,262,0.08,156,0.13,2
Delta,0,2.33,2,0,78,20,31,34,18,18,189,204,0.08,98,0.2,3
Delta,0,4.63,0,0,126,18,32,34,17,17,626,670,0.07,144,0.13,2
Delta,0,2.86,1,0,136,20,33,35,17,17,354,378,0.07,156,0.13,2
Delta,0,2.06,0,0,78,20,31,34,18,18,228,243,0.07,98,0.2,3
Delta,0,2.01,3,0,78,20,31,34,18,18,222,237,0.07,98,0.2,3
Delta,0,2.33,3,0,78,20,31,34,18,18,216,231,0.07,98,0.2,3
Delta,0,4.51,0,0,171,29,32,35,18,18,713,757,0.06,200,0.15,3
Delta,1,1.81,2,0,120,18,32,34,17,17,293,308,0.05,138,0.13,2
Delta,1,1.83,3,0,120,18,32,34,17,17,293,308,0.05,138,0.13,2
Delta,0,1.57,1,0,126,18,32,34,17,17,293,308,0.05,144,0.13,2
Delta,0,2.5,0,0,136,20,33,35,17,17,636,660,0.04,156,0.13,2
Delta,1,1.8,3,0,120,18,32,34,17,17,416,431,0.04,138,0.13,2
Delta,0,1.75,0,0,78,20,31,34,18,18,391,406,0.04,98,0.2,3
Delta,0,1.57,0,0,126,18,32,34,17,17,349,364,0.04,144,0.13,2
Delta,0,2.3,1,0,78,20,31,34,18,18,349,364,0.04,98,0.2,3
Delta,0,2.3,0,0,78,20,31,34,18,18,581,596,0.03,98,0.2,3
Jet,0,3.25,1,1,124,16,30,40,17,21,167,483,1.89,140,0.11,10
Jet,0,3.25,2,1,124,16,30,40,17,21,167,483,1.89,140,0.11,10
Jet,0,3.25,3,1,124,16,30,40,17,21,167,483,1.89,140,0.11,10
Jet,0,3.25,0,1,124,16,30,40,17,21,139,398,1.87,140,0.11,10
Jet,0,5.66,1,1,162,8,30,40,17,21,201,545,1.71,170,0.05,10
Jet,0,3.16,0,1,162,8,30,40,17,21,148,397,1.68,170,0.05,10
Jet,0,3.16,3,1,162,8,30,40,17,21,148,397,1.68,170,0.05,10
Jet,0,3.25,3,1,124,16,30,40,17,21,149,398,1.67,140,0.11,10
Jet,0,4.16,0,1,124,16,30,40,17,21,197,520,1.64,140,0.11,10
Jet,0,4.16,3,1,124,16,30,40,17,21,211,534,1.53,140,0.11,10
Jet,1,9.5,3,1,147,21,32,38,18,19,336,841,1.5,168,0.13,6
Jet,0,5.66,0,1,162,8,30,40,17,21,187,430,1.3,170,0.05,10
Jet,0,5.66,1,1,162,8,30,40,17,21,187,430,1.3,170,0.05,10
Jet,0,5.66,2,1,162,8,30,40,17,21,187,430,1.3,170,0.05,10
Jet,0,5.66,3,1,162,8,30,40,17,21,187,430,1.3,170,0.05,10
Jet,0,4.08,1,1,124,16,30,40,17,21,139,318,1.29,140,0.11,10
Jet,0,4.25,1,1,17,21,30,40,17,21,156,354,1.27,38,0.55,10
Jet,0,4.25,2,1,17,21,30,40,17,21,156,354,1.27,38,0.55,10
Jet,0,4.25,3,1,17,21,30,40,17,21,156,354,1.27,38,0.55,10
Jet,0,2.5,0,1,124,16,30,40,17,21,118,267,1.26,140,0.11,10
Jet,0,2.5,2,1,124,16,30,40,17,21,118,267,1.26,140,0.11,10
Jet,0,2.5,3,1,124,16,30,40,17,21,118,267,1.26,140,0.11,10
Jet,0,5.66,0,1,162,8,30,40,17,21,245,545,1.22,170,0.05,10
Jet,0,2.66,0,1,124,16,30,40,17,21,108,228,1.11,140,0.11,10
Jet,0,2.66,2,1,124,16,30,40,17,21,108,228,1.11,140,0.11,10
Jet,0,2.66,3,1,124,16,30,40,17,21,108,228,1.11,140,0.11,10
